"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
104,"1","bulbasaur","2023-12-24T14:00:42.248986Z",1,"/data/upload/6/8a23e605-00000000.jpg",6.421,"2023-12-24T14:00:42.248986Z"
105,"1","bulbasaur","2023-12-24T14:00:43.951680Z",2,"/data/upload/6/3e22debe-00000001.jpg",1.4,"2023-12-24T14:00:43.951855Z"
106,"1","bulbasaur","2023-12-24T14:00:45.097148Z",3,"/data/upload/6/e1d26b22-00000002.jpg",0.916,"2023-12-24T14:00:45.097148Z"
107,"1","bulbasaur","2023-12-24T14:00:46.399867Z",4,"/data/upload/6/d6e252f9-00000003.jpg",1.076,"2023-12-24T14:00:46.399867Z"
108,"1","bulbasaur","2023-12-24T14:00:47.260407Z",5,"/data/upload/6/d5ada68f-00000004.jpg",0.618,"2023-12-24T14:00:47.260407Z"
109,"1","bulbasaur","2023-12-24T14:00:48.138376Z",6,"/data/upload/6/7e8e9b03-00000005.jpg",0.639,"2023-12-24T14:00:48.138376Z"
110,"1","bulbasaur","2023-12-24T14:00:49.303326Z",7,"/data/upload/6/d1228df6-00000006.jpg",0.95,"2023-12-24T14:00:49.303326Z"
111,"1","bulbasaur","2023-12-24T14:00:50.247626Z",8,"/data/upload/6/5ea81694-00000007.jpg",0.718,"2023-12-24T14:00:50.247626Z"
112,"1","bulbasaur","2023-12-24T14:00:51.156879Z",9,"/data/upload/6/0a5d31fd-00000008.jpg",0.674,"2023-12-24T14:00:51.156879Z"
113,"1","bulbasaur","2023-12-24T14:00:51.906721Z",10,"/data/upload/6/8b9a6b28-00000009.jpg",0.529,"2023-12-24T14:00:51.906721Z"
114,"1","bulbasaur","2023-12-24T14:00:52.532319Z",11,"/data/upload/6/5a0b5ee1-00000010.jpg",0.388,"2023-12-24T14:00:52.532319Z"
115,"1","bulbasaur","2023-12-24T14:00:53.188707Z",12,"/data/upload/6/1435e1e4-00000011.jpg",0.421,"2023-12-24T14:00:53.188707Z"
116,"1","bulbasaur","2023-12-24T14:00:53.799353Z",13,"/data/upload/6/d69ba36e-00000012.jpg",0.373,"2023-12-24T14:00:53.799353Z"
117,"1","bulbasaur","2023-12-24T14:00:54.435129Z",14,"/data/upload/6/00526b14-00000013.jpg",0.396,"2023-12-24T14:00:54.435129Z"
118,"1","bulbasaur","2023-12-24T14:00:55.016733Z",15,"/data/upload/6/1f5ca6e6-00000014.jpg",3.31,"2023-12-24T14:01:44.796349Z"
119,"1","bulbasaur","2023-12-24T14:00:55.689210Z",16,"/data/upload/6/e516bc6e-00000015.jpg",2.049,"2023-12-24T14:01:47.989862Z"
120,"1","bulbasaur","2023-12-24T14:00:56.325225Z",17,"/data/upload/6/9d510660-00000016.jpg",0.406,"2023-12-24T14:00:56.325225Z"
121,"1","bulbasaur","2023-12-24T14:00:58.458163Z",18,"/data/upload/6/bb8fa07e-00000017.jpg",1.902,"2023-12-24T14:00:58.458163Z"
122,"1","bulbasaur","2023-12-24T14:00:59.300572Z",19,"/data/upload/6/84bb4db0-00000018.jpg",0.614,"2023-12-24T14:00:59.300572Z"
123,"1","bulbasaur","2023-12-24T14:01:00.112531Z",20,"/data/upload/6/66e16c70-00000019.jpg",0.581,"2023-12-24T14:01:00.112531Z"
124,"1","bulbasaur","2023-12-24T14:01:00.888304Z",21,"/data/upload/6/84c96012-00000020.jpg",0.556,"2023-12-24T14:01:00.888304Z"
125,"1","bulbasaur","2023-12-24T14:01:01.717643Z",22,"/data/upload/6/bbfc7724-00000021.jpg",0.605,"2023-12-24T14:01:01.717643Z"
126,"1","bulbasaur","2023-12-24T14:01:02.481936Z",23,"/data/upload/6/551c247e-00000022.jpg",0.534,"2023-12-24T14:01:02.481936Z"
127,"1","bulbasaur","2023-12-24T14:01:03.560355Z",24,"/data/upload/6/a30c771c-00000023.jpg",0.539,"2023-12-24T14:01:03.560355Z"
128,"1","bulbasaur","2023-12-24T14:01:04.245479Z",25,"/data/upload/6/886d57f0-00000024.jpg",2.5429999999999997,"2023-12-24T14:02:05.114254Z"
129,"1","bulbasaur","2023-12-24T14:01:05.929758Z",26,"/data/upload/6/51fcf6e8-00000025.jpg",1.146,"2023-12-24T14:01:05.929758Z"
130,"1","bulbasaur","2023-12-24T14:01:07.875024Z",27,"/data/upload/6/beaf5caf-00000026.jpg",1.712,"2023-12-24T14:01:07.875024Z"
131,"1","bulbasaur","2023-12-24T14:01:09.274728Z",28,"/data/upload/6/e2305714-00000027.jpg",0.858,"2023-12-24T14:01:09.274728Z"
132,"1","bulbasaur","2023-12-24T14:01:10.215731Z",29,"/data/upload/6/ae198c13-00000028.jpg",0.71,"2023-12-24T14:01:10.215731Z"
133,"1","bulbasaur","2023-12-24T14:01:11.553287Z",30,"/data/upload/6/c9d03bfb-00000029.jpg",0.812,"2023-12-24T14:01:11.553287Z"
134,"1","bulbasaur","2023-12-24T14:01:12.322983Z",31,"/data/upload/6/e4c61159-00000030.jpg",0.54,"2023-12-24T14:01:12.322983Z"
135,"1","bulbasaur","2023-12-24T14:01:13.665612Z",32,"/data/upload/6/a8a0dfce-00000031.jpg",0.804,"2023-12-24T14:01:13.665612Z"
136,"1","bulbasaur","2023-12-24T14:01:14.413453Z",33,"/data/upload/6/304171b4-00000032.jpg",3.1759999999999997,"2023-12-24T14:02:23.008835Z"
137,"1","bulbasaur","2023-12-24T14:01:15.780654Z",34,"/data/upload/6/d022aced-00000033.jpg",0.837,"2023-12-24T14:01:15.780654Z"
138,"1","bulbasaur","2023-12-24T14:02:27.846678Z",35,"/data/upload/6/ba2526cb-00000034.jpg",2.32,"2023-12-24T14:02:27.846678Z"
139,"1","bulbasaur","2023-12-24T14:02:32.842705Z",36,"/data/upload/6/70275023-00000035.jpg",1.239,"2023-12-24T14:02:32.842705Z"
140,"1","bulbasaur","2023-12-24T14:02:48.152010Z",37,"/data/upload/6/e1141894-00000036.jpg",4.391,"2023-12-24T14:02:48.152010Z"
141,"1","bulbasaur","2023-12-24T14:02:49.334956Z",38,"/data/upload/6/73d52c54-00000037.jpg",0.95,"2023-12-24T14:02:49.334956Z"
142,"1","bulbasaur","2023-12-24T14:02:50.392600Z",39,"/data/upload/6/360a768f-00000038.jpg",0.823,"2023-12-24T14:02:50.392600Z"
143,"1","bulbasaur","2023-12-24T14:02:51.404317Z",40,"/data/upload/6/c540a801-00000039.jpg",0.72,"2023-12-24T14:02:51.404317Z"
144,"1","bulbasaur","2023-12-24T14:02:52.336445Z",41,"/data/upload/6/8e249d6a-00000040.jpg",0.686,"2023-12-24T14:02:52.336445Z"
145,"1","bulbasaur","2023-12-24T14:02:53.227383Z",42,"/data/upload/6/fbf7760f-00000041.jpg",0.669,"2023-12-24T14:02:53.227383Z"
146,"1","bulbasaur","2023-12-24T14:02:54.299482Z",43,"/data/upload/6/e415f177-00000042.jpg",0.839,"2023-12-24T14:02:54.299482Z"
147,"1","bulbasaur","2023-12-24T14:02:55.281394Z",44,"/data/upload/6/6c6d513d-00000043.jpg",0.727,"2023-12-24T14:02:55.281394Z"
148,"1","bulbasaur","2023-12-24T14:02:56.234121Z",45,"/data/upload/6/3706a34a-00000044.jpg",0.731,"2023-12-24T14:02:56.234121Z"
149,"1","bulbasaur","2023-12-24T14:02:57.157223Z",46,"/data/upload/6/a98b9ed0-00000045.jpg",0.706,"2023-12-24T14:02:57.157337Z"
150,"1","bulbasaur","2023-12-24T14:02:57.996050Z",47,"/data/upload/6/26c18194-00000046.jpg",0.62,"2023-12-24T14:02:57.996050Z"
151,"1","bulbasaur","2023-12-24T14:02:58.880979Z",48,"/data/upload/6/2fa3623b-00000047.jpg",0.654,"2023-12-24T14:02:58.880979Z"
152,"1","bulbasaur","2023-12-24T14:02:59.953459Z",49,"/data/upload/6/8cb254b0-00000048.jpg",0.847,"2023-12-24T14:02:59.953459Z"
153,"1","bulbasaur","2023-12-24T14:03:00.850484Z",50,"/data/upload/6/5c535a57-00000049.jpg",0.678,"2023-12-24T14:03:00.850484Z"
154,"1","bulbasaur","2023-12-24T14:03:01.740915Z",51,"/data/upload/6/0fb64896-00000050.jpg",0.656,"2023-12-24T14:03:01.740915Z"
155,"1","bulbasaur","2023-12-24T14:03:02.581848Z",52,"/data/upload/6/0c8bb246-00000051.jpg",0.6,"2023-12-24T14:03:02.581848Z"
156,"1","bulbasaur","2023-12-24T14:03:03.338592Z",53,"/data/upload/6/fa855124-00000052.jpg",0.543,"2023-12-24T14:03:03.338592Z"
157,"1","bulbasaur","2023-12-24T14:03:04.455922Z",54,"/data/upload/6/dfebe154-00000053.jpg",0.597,"2023-12-24T14:03:04.455922Z"
158,"1","bulbasaur","2023-12-24T14:03:05.808952Z",55,"/data/upload/6/bdf94519-00000054.jpg",1.124,"2023-12-24T14:03:05.808952Z"
159,"1","bulbasaur","2023-12-24T14:03:07.086221Z",56,"/data/upload/6/9090c201-00000055.jpg",0.747,"2023-12-24T14:03:07.086221Z"
160,"1","bulbasaur","2023-12-24T14:03:08.212576Z",57,"/data/upload/6/6719f635-00000056.jpg",0.879,"2023-12-24T14:03:08.212576Z"
161,"1","bulbasaur","2023-12-24T14:03:09.612192Z",58,"/data/upload/6/a46c9ab9-00000057.jpg",0.846,"2023-12-24T14:03:09.612192Z"
162,"1","bulbasaur","2023-12-24T14:03:10.862304Z",59,"/data/upload/6/4ac2d2a6-00000058.jpg",1.022,"2023-12-24T14:03:10.862304Z"
163,"1","bulbasaur","2023-12-24T14:03:12.211757Z",60,"/data/upload/6/ff89edf0-00000059.jpg",0.809,"2023-12-24T14:03:12.211757Z"
164,"1","bulbasaur","2023-12-24T14:03:13.133237Z",61,"/data/upload/6/c88c0f8f-00000060.jpg",0.681,"2023-12-24T14:03:13.133237Z"
165,"1","bulbasaur","2023-12-24T14:03:14.399255Z",62,"/data/upload/6/52d518e2-00000061.jpg",0.744,"2023-12-24T14:03:14.399255Z"
166,"1","bulbasaur","2023-12-24T14:03:15.166897Z",63,"/data/upload/6/58a3b31a-00000062.jpg",0.546,"2023-12-24T14:03:15.166897Z"
167,"1","bulbasaur","2023-12-24T14:03:16.082820Z",64,"/data/upload/6/b6675418-00000063.jpg",0.685,"2023-12-24T14:03:16.082820Z"
168,"1","bulbasaur","2023-12-24T14:03:17.283979Z",65,"/data/upload/6/4df5d60b-00000065.jpg",0.681,"2023-12-24T14:03:17.283979Z"
169,"1","bulbasaur","2023-12-24T14:03:18.010759Z",66,"/data/upload/6/9f6ba0db-00000066.jpg",1.563,"2023-12-24T14:03:23.582411Z"
170,"1","bulbasaur","2023-12-24T14:03:29.615373Z",67,"/data/upload/6/c97b581b-00000067.jpg",1.704,"2023-12-24T14:03:29.615373Z"
171,"1","bulbasaur","2023-12-24T14:03:30.942015Z",68,"/data/upload/6/5e0cbe50-00000068.jpg",1.103,"2023-12-24T14:03:30.942015Z"
172,"1","bulbasaur","2023-12-24T14:03:32.509457Z",69,"/data/upload/6/4fb9f33d-00000069.jpg",1.022,"2023-12-24T14:03:32.509457Z"
173,"1","bulbasaur","2023-12-24T14:03:33.646326Z",70,"/data/upload/6/66f8845a-00000070.jpg",0.878,"2023-12-24T14:03:33.646326Z"
174,"1","bulbasaur","2023-12-24T14:03:35.141512Z",71,"/data/upload/6/560a180d-00000072.jpg",0.958,"2023-12-24T14:03:35.141512Z"
175,"1","bulbasaur","2023-12-24T14:03:36.462415Z",72,"/data/upload/6/7d3bf30c-00000074.jpg",1.077,"2023-12-24T14:03:36.462415Z"
176,"1","bulbasaur","2023-12-24T14:03:37.880522Z",73,"/data/upload/6/670377f4-00000075.jpg",0.912,"2023-12-24T14:03:37.880522Z"
177,"1","bulbasaur","2023-12-24T14:03:39.213710Z",74,"/data/upload/6/2a825103-00000076.jpg",1.1,"2023-12-24T14:03:39.213710Z"
178,"1","bulbasaur","2023-12-24T14:03:40.897805Z",75,"/data/upload/6/f5f449cf-00000077.jpg",1.144,"2023-12-24T14:03:40.897805Z"
179,"1","bulbasaur","2023-12-24T14:03:42.072301Z",76,"/data/upload/6/b7ccd4eb-00000078.jpg",0.947,"2023-12-24T14:03:42.072301Z"
180,"1","bulbasaur","2023-12-24T14:03:43.425403Z",77,"/data/upload/6/ab76649d-00000079.jpg",0.83,"2023-12-24T14:03:43.425403Z"
181,"1","bulbasaur","2023-12-24T14:03:44.740227Z",78,"/data/upload/6/3fdb7500-00000080.jpg",1.078,"2023-12-24T14:03:44.740227Z"
182,"1","bulbasaur","2023-12-24T14:03:46.185292Z",79,"/data/upload/6/bb748e59-00000081.jpg",0.921,"2023-12-24T14:03:46.185292Z"
183,"1","bulbasaur","2023-12-24T14:03:47.462237Z",80,"/data/upload/6/18976b6a-00000082.jpg",1.056,"2023-12-24T14:03:47.462237Z"
184,"1","bulbasaur","2023-12-24T14:03:49.066274Z",81,"/data/upload/6/4519beaa-00000083.jpg",1.075,"2023-12-24T14:03:49.066274Z"
185,"1","bulbasaur","2023-12-24T14:03:50.179390Z",82,"/data/upload/6/b4773de8-00000084.jpg",0.888,"2023-12-24T14:03:50.179390Z"
186,"1","bulbasaur","2023-12-24T14:03:51.607633Z",83,"/data/upload/6/bd0624be-00000085.jpg",0.878,"2023-12-24T14:03:51.607633Z"
187,"1","bulbasaur","2023-12-24T14:03:52.629796Z",84,"/data/upload/6/ebe7cc9a-00000087.jpg",0.796,"2023-12-24T14:03:52.629796Z"
188,"1","bulbasaur","2023-12-24T14:03:54.008452Z",85,"/data/upload/6/9911d090-00000088.jpg",0.847,"2023-12-24T14:03:54.008452Z"
189,"1","bulbasaur","2023-12-24T14:03:54.938719Z",86,"/data/upload/6/af2235e5-00000089.jpg",0.711,"2023-12-24T14:03:54.938719Z"
190,"1","bulbasaur","2023-12-24T14:03:56.635064Z",87,"/data/upload/6/47ac9b6e-00000090.jpg",1.163,"2023-12-24T14:03:56.635064Z"
191,"1","bulbasaur","2023-12-24T14:03:57.654830Z",88,"/data/upload/6/bdd181a3-00000091.jpg",0.791,"2023-12-24T14:03:57.654830Z"
192,"1","bulbasaur","2023-12-24T14:03:58.979779Z",89,"/data/upload/6/bb7b8f49-00000092.jpg",0.797,"2023-12-24T14:03:58.979779Z"
193,"1","bulbasaur","2023-12-24T14:04:00.028651Z",90,"/data/upload/6/cb61d843-00000093.jpg",0.815,"2023-12-24T14:04:00.028651Z"
194,"1","bulbasaur","2023-12-24T14:04:01.391419Z",91,"/data/upload/6/02fff066-00000094.jpg",0.832,"2023-12-24T14:04:01.391419Z"
195,"1","bulbasaur","2023-12-24T14:04:02.391419Z",92,"/data/upload/6/f75409de-00000095.jpg",0.783,"2023-12-24T14:04:02.391419Z"
196,"1","bulbasaur","2023-12-24T14:04:03.682229Z",93,"/data/upload/6/a5b63ef9-00000096.jpg",0.761,"2023-12-24T14:04:03.682229Z"
197,"1","bulbasaur","2023-12-24T14:04:04.743216Z",94,"/data/upload/6/9515adcd-00000097.jpg",0.843,"2023-12-24T14:04:04.743216Z"
198,"1","bulbasaur","2023-12-24T14:04:06.413071Z",95,"/data/upload/6/912c0d3a-00000098.jpg",1.147,"2023-12-24T14:04:06.413071Z"
199,"1","bulbasaur","2023-12-24T14:04:07.913367Z",96,"/data/upload/6/d20a5338-00000099.jpg",1.275,"2023-12-24T14:04:07.913367Z"
200,"1","bulbasaur","2023-12-24T14:04:09.444543Z",97,"/data/upload/6/c76c0fb9-00000100.jpg",1.012,"2023-12-24T14:04:09.444543Z"
201,"1","bulbasaur","2023-12-24T14:04:10.518978Z",98,"/data/upload/6/d376f726-00000101.jpg",0.839,"2023-12-24T14:04:10.518978Z"
202,"1","bulbasaur","2023-12-24T14:04:11.971361Z",99,"/data/upload/6/4a8e817a-00000103.jpg",0.916,"2023-12-24T14:04:11.971361Z"
203,"1","bulbasaur","2023-12-24T14:04:13.822932Z",100,"/data/upload/6/a21afc88-00000104.jpg",1.582,"2023-12-24T14:04:13.822932Z"
204,"1","bulbasaur","2023-12-24T14:04:15.219779Z",101,"/data/upload/6/d2d8ef4c-00000105.jpg",0.871,"2023-12-24T14:04:15.219779Z"
205,"1","bulbasaur","2023-12-24T14:04:16.296415Z",102,"/data/upload/6/178371af-00000106.jpg",0.86,"2023-12-24T14:04:16.296415Z"
206,"1","bulbasaur","2023-12-24T14:04:17.604462Z",103,"/data/upload/6/febdfa68-00000107.jpg",0.759,"2023-12-24T14:04:17.604462Z"
207,"1","bulbasaur","2023-12-24T14:04:18.616681Z",104,"/data/upload/6/be1645b0-00000108.jpg",0.767,"2023-12-24T14:04:18.616681Z"
208,"1","bulbasaur","2023-12-24T14:04:20.163942Z",105,"/data/upload/6/c707f92b-00000109.jpg",1.022,"2023-12-24T14:04:20.163942Z"
